"salesorder_no";"productid";"quantity";"listprice";"product_no";"productname"
"SO124";5600;"1.000";"500.000";"PRO1954";"TI-Technical Assistance"
"SO125";7160;"1.000";"1200.000";"PRO2234";"ISNSC SSL CERTIFICATE"
"SO125";5424;"1.000";"700.000";"PRO1932";"BPS-CONSULTATION"
"SO126";7041;"2.000";"12500.000";"PRO2175";"ASA 5510 Security"
"SO126";7039;"2.000";"390.000";"PRO2173";"V.35 Cable, DTE Male to Smart Serial, 10 Feet"
"SO126";7038;"1.000";"2100.000";"PRO2172";"2-Port Serial WAN Interface Card"
"SO126";7037;"1.000";"11900.000";"PRO2171";"CISCO2821w/ AC PWR"
"SO126";7128;"1.000";"3200.000";"PRO2219";"SQLSvrStd 2008R2 SNGL OLP NL"
"SO126";7129;"2.000";"690.000";"PRO2220";"SQLCAL 2008R2 SNGL OLP NL UsrCAL"
"SO127";7167;"2.000";"850.000";"PRO2235";"HP NC360T PCIe Dp Gigabit Server Adapter"
"SO128";7042;"1.000";"18400.000";"PRO2176";"Oracle Real Application Cluster - Processor - Perp"
"SO129";7213;"1.000";"204000.000";"PRO2252";"BPS-SYSTEM ENGINEER"
"SO130";7128;"1.000";"2896.000";"PRO2219";"SQLSvrStd 2008R2 SNGL OLP NL"
"SO130";3019;"5.000";"94.040";"PRO1507";"Windows Server CAL 2008 Sngl OLP NL User CAL"
"SO130";6561;"1.000";"89.000";"PRO2091";"Media CD"
"SO131";7247;"1.000";"204000.000";"PRO2267";"BPS-J2EE"
"SO132";7323;"1.000";"9000.000";"PRO2292";"BPS-SQL&ORACLE BACKUP"
"SO133";5969;"1.000";"11000.000";"PRO2014";"HP DL380 G6 E5520 Base EU Svr - 2U - Intel QC 2.26"
"SO133";6857;"3.000";"1300.000";"PRO2115";"HP 72GB 3G SAS 15K SFF DP ENT HDD"
"SO133";6896;"1.000";"950.000";"PRO2118";"HP 4GB 2Rx4 PC3-10600R-9 Kit"
"SO133";4956;"1.000";"1750.000";"PRO1739";"Network Rack 27U 600*1000"
"SO133";3755;"2.000";"400.000";"PRO1616";"Linksys Wireless ADSL Router"
"SO133";3153;"1.000";"1000.000";"PRO1536";"TI-System Installation and Configuration"
"SO134";6572;"1.000";"10200.000";"PRO2096";"HP DL360 G6 E5504"
"SO134";6574;"1.000";"475.000";"PRO2098";"HP 2GB 2Rx8 PC3-10600E-9 Kit U-DIMM"
"SO134";6277;"3.000";"1300.000";"PRO2078";"HP 72GB 6G SAS 15K 2.5in DP ENT HDD"
"SO134";3755;"2.000";"400.000";"PRO1616";"Linksys Wireless ADSL Router"
"SO134";4956;"1.000";"1750.000";"PRO1739";"Network Rack 27U 600*1000"
"SO134";3153;"1.000";"1000.000";"PRO1536";"TI-System Installation and Configuration"
"SO135";114;"1.000";"1000.000";"PRO13";"Website CMS Training"
"SO136";5600;"1.000";"500.000";"PRO1954";"TI-Technical Assistance"
"SO137";5600;"1.000";"750.000";"PRO1954";"TI-Technical Assistance"
"SO138";6576;"1.000";"20000.000";"PRO2099";"SCA COMPLIANCY EXTERNAL AUDIT"
"SO138";5593;"1.000";"12610.000";"PRO1953";"CERTIFIED SECURITY AUDIT"
"SO138";8133;"1.000";"15000.000";"PRO2351";"Business Professional Services"
"SO139";1916;"1.000";"12000.000";"PRO1302";"ASA 5505 VPN Edition w/ 25 SSL Users, 50 Firewall "
"SO139";5969;"2.000";"14600.000";"PRO2014";"HP DL380 G6 E5520 Base EU Svr - 2U - Intel QC 2.26"
"SO139";6487;"1.000";"3700.000";"PRO2089";"MS SQL 2008 Standard Edition"
"SO140";5553;"1.000";"2000.000";"PRO1939";"Managed Co-location"
"SO140";6615;"3.000";"3312.000";"PRO2103";"Managed Co-location-1x Server"
"SO141";7213;"3.000";"11500.000";"PRO2252";"BPS-SYSTEM ENGINEER"
"SO142";8277;"16.000";"50.000";"PRO2373";"Trend Micro - Worry-Free Business Security v9"
"SO143";8146;"1.000";"21900.000";"PRO2355";"Nikon Camera D3S"
"SO143";8144;"1.000";"4250.000";"PRO2353";"Sony Vaio"
"SO143";5907;"1.000";"620.000";"PRO2003";"1TB WD External HDD 2.5 USB"
"SO143";8143;"1.000";"2890.000";"PRO2352";"Hitachi 42' LCD TV"
"SO143";8145;"1.000";"16000.000";"PRO2354";"Canon CamCorder"
"SO143";8150;"1.000";"6860.000";"PRO2357";"Fujitsu Fi-6140 VRS Pro Departmental Scanner"
"SO144";8352;"20.000";"130.000";"PRO2376";"Trend Micro-Worry-Free Business Security v7.x, Sta"
"SO145";8316;"2.000";"2250.000";"PRO2375";"500GB SAS hard drive - 7,200RPM, dual port, Small"
"SO146";8439;"5.000";"1450.000";"PRO2414";"HP B500"
"SO146";8469;"5.000";"470.000";"PRO2421";"LCD Monitor 18.5"
"SO147";8362;"1.000";"1650.000";"PRO2378";"Combination Card ATM-Avaya R6 V2"
"SO148";5323;"11.000";"15000.000";"PRO1911";"1 GB DDR2 667 Mhz (Transcend)"
"SO149";5424;"1.000";"15000.000";"PRO1932";"BPS-CONSULTATION"
"SO150";6256;"2.000";"138000.000";"PRO2069";"IT OUTSOURCING"
"SO151";5554;"1.000";"21000.000";"PRO1940";"Managed Co-location"
"SO152";8439;"2.000";"1450.000";"PRO2414";"HP B500"
"SO152";8469;"2.000";"470.000";"PRO2421";"LCD Monitor 18.5"
"SO153";8671;"1.000";"250000.000";"PRO2447";"BPS-Oracle System Admin"
"SO154";7213;"1.000";"204000.000";"PRO2252";"BPS-SYSTEM ENGINEER"
"SO155";8780;"1.000";"89862.600";"PRO2449";"Oracle Database Ent. Edt.Named user Perpetual"
"SO155";8781;"1.000";"20671.500";"PRO2450";"Oracle Database Ent. Edt–Named User"
"SO155";8789;"1.000";"1272.800";"PRO2457";"Internet Application Server Ent.Editon"
"SO155";8782;"1.000";"28940.100";"PRO2451";"Internet Developer Suite"
"SO155";8783;"1.000";"66149.000";"PRO2452";"Oracle Database Enterprise Edition"
"SO155";8784;"1.000";"64941.000";"PRO2453";"Internet Application Server"
"SO155";8785;"1.000";"45482.000";"PRO2454";"Real Application Clusters"
"SO155";8786;"1.000";"72681.000";"PRO2455";"Oracle Busn Intelligence Suite Ent. Edition Plus"
"SO156";8860;"1.000";"490.000";"PRO2478";"MicrosoftAccess 2010 32-bit/x64 English"
"SO157";8993;"1.000";"2000.000";"PRO2495";"Western Digital HDD 4TB"
"SO158";9085;"1.000";"14720.000";"PRO2505";"Neverfail Onsite Installation"
"SO158";9086;"3.000";"34960.000";"PRO2506";"Neverfail for Exchange"
"SO159";8860;"1.000";"490.000";"PRO2478";"MicrosoftAccess 2010 32-bit/x64 English"
"SO160";9112;"5.000";"165.000";"PRO2515";"EXT>Telephone cable termination testing and labeli"
"SO160";9113;"2.000";"160.000";"PRO2516";"Fax Telephone cable termination testing and labeli"
"SO160";9114;"1.000";"750.000";"PRO2517";"PABX system"
"SO160";9115;"1.000";"450.000";"PRO2518";"Etisalat cable lines tracing and testing including"
"SO161";9144;"1.000";"1790.000";"PRO2532";"Panasonic PABX System"
"SO162";9173;"1.000";"325.000";"PRO2538";"Panasonic Telephone"
"SO163";9095;"2.000";"6500.000";"PRO2508";"Checkpoint EM 2300"
"SO163";9096;"2000.000";"1.750";"PRO2509";"Clear 4strip Labels 10X50"
"SO163";9097;"1.000";"4420.000";"PRO2510";"Security label de activation unit (counter)"
"SO163";9098;"1.000";"3320.000";"PRO2511";"Security label re activation unit – counter"
"SO163";9099;"2.000";"4200.000";"PRO2512";"Mono Electronics Central Unit"
"SO163";7258;"1.000";"2500.000";"PRO2272";"Installation,Testing & comissioning"
"SO164";7213;"6.000";"3600.000";"PRO2252";"BPS-SYSTEM ENGINEER"
"SO164";9214;"5.000";"1800.000";"PRO2549";"BPS-SYSTEM ENGINEER"
"SO165";9218;"3.000";"10250.000";"PRO2550";"BPS-SYSTEM ENGINEER"
"SO166";9128;"13.000";"140.000";"PRO2524";"Data network cable"
"SO166";9137;"1.000";"450.000";"PRO2530";"DSL line connectivity from Etisalat router"
"SO166";9136;"4.000";"740.000";"PRO2529";"Connectivity between IDF1"
"SO166";9131;"1.000";"1475.000";"PRO2527";"Pvc trunking job with material and fixing."
"SO166";9129;"13.000";"7.000";"PRO2525";"Face plate  3*3 (JE/DATA COM)"
"SO166";9207;"4.000";"500.000";"PRO2548";"Projector Shifting and reinstallation"
"SO166";9130;"13.000";"13.000";"PRO2526";"Cat5e RJ 45 keystone jack. (JE/DATA COM)"
"SO166";9138;"1.000";"350.000";"PRO2531";"16port Data switch Dlink"
"SO167";9131;"1.000";"215.000";"PRO2527";"Pvc trunking job with material and fixing."
"SO167";9130;"3.000";"15.000";"PRO2526";"Cat5e RJ 45 keystone jack. (JE/DATA COM)"
"SO167";9129;"3.000";"10.000";"PRO2525";"Face plate  3*3 (JE/DATA COM)"
"SO167";9128;"3.000";"145.000";"PRO2524";"Data network cable"
"SO167";9132;"1.000";"750.000";"PRO2528";"Wirless acces point shifting and re installation"
"SO168";9169;"7.000";"400.000";"PRO2535";"Cat6 Data points including cat6 cable"
"SO168";9170;"1.000";"520.000";"PRO2536";"24 port data switch"
"SO168";9171;"1.000";"390.000";"PRO2537";"Dsl line connectivity from etisalat router"
"SO169";9338;"1.000";"500.000";"PRO2600";"Telephone network cable"
"SO169";9129;"1.000";"10.000";"PRO2525";"Face plate  3*3 (JE/DATA COM)"
"SO169";9130;"1.000";"15.000";"PRO2526";"Cat5e RJ 45 keystone jack. (JE/DATA COM)"
"SO169";9173;"1.000";"150.000";"PRO2538";"Panasonic Telephone"
"SO169";9131;"1.000";"175.000";"PRO2527";"Pvc trunking job with material and fixing."
"SO169";9144;"1.000";"650.000";"PRO2532";"Panasonic PABX System"
"SO170";9234;"1.000";"1600.000";"PRO2554";"Sony VPL e-series Data Projector"
"SO171";9309;"13.000";"1864.800";"PRO2580";"IP Fixed Mini Dome Camera, day/night"
"SO171";9310;"4.000";"3726.000";"PRO2581";"H.264 EQUIP Series 1/4 Progressive scan"
"SO171";9311;"4.000";"974.400";"PRO2582";"3-8mm F1.2 varifocal,CS,high definition/mpix"
"SO171";9312;"4.000";"535.200";"PRO2583";"15"" indoor/outdoor enclosure w/mount&sunshield"
"SO171";9313;"1.000";"36111.600";"PRO2584";"MAXPRO NVR SE,4tb removable HD"
"SO171";9314;"1.000";"900.000";"PRO2585";"21"" LCD Monitor(Samsung/LG)"
"SO172";9317;"1.000";"3222.000";"PRO2588";"WIN-PAK Access Control Software"
"SO172";9318;"1.000";"6581.000";"PRO2589";"PRO-2200 Network Kit"
"SO172";9319;"7.000";"1040.000";"PRO2590";"PRO-2200 Dual Reader Module"
"SO172";9320;"1.000";"4560.000";"PRO2591";"4G V Flex/Secugen Optical/HID Prox"
"SO172";9321;"13.000";"468.000";"PRO2592";"HID Proximity compatible mullion reader,wiegand ou"
"SO172";9322;"100.000";"28.000";"PRO2593";"125Khz Proximity card , ISO Glossy white"
"SO172";9323;"14.000";"48.000";"PRO2594";"SURFACE MNT CONT WH,HNYWL Logo"
"SO172";9324;"19.000";"96.000";"PRO2595";"Exit Button,flush stainless steel"
"SO172";9325;"14.000";"432.000";"PRO2596";"600lbs EM lock with LED(monitored)"
"SO172";9326;"14.000";"120.000";"PRO2597";"ZL Bracket"
"SO172";9327;"14.000";"108.000";"PRO2598";"Power Supply for Lock"
"SO172";9328;"8.000";"612.000";"PRO2599";"Cat6 Cables (305meter/roll)"
"SO172";9315;"1.000";"7666.000";"PRO2586";"Installation Services"
"SO172";9315;"1.000";"10000.000";"PRO2586";"Installation Services"
"SO173";9492;"1.000";"61900.000";"PRO2652";"BSD-INTELLECT-Eprocurement"
"SO173";9493;"1.000";"26550.000";"PRO2653";"ITC-PROFIT SHARE"
"SO174";2292;"1.000";"30.000";"PRO1428";"1U Brush Panel"
"SO174";9230;"9.000";"150.000";"PRO2551";"Cat6 Data network cable"
"SO174";9129;"9.000";"5.500";"PRO2525";"Face plate  3*3 (JE/DATA COM)"
"SO174";9231;"9.000";"10.500";"PRO2552";"Cat6 RJ 45 keystone jack"
"SO174";9131;"1.000";"800.000";"PRO2527";"Pvc trunking job with material and fixing."
"SO174";9170;"1.000";"250.000";"PRO2536";"24 port data switch"
"SO175";9612;"1.000";"38478.000";"PRO2681";"CryptoCard Black Shield Token"
"SO176";3083;"1.000";"1104.000";"PRO1514";"HP Scanjet 5590 Digital Flatbed Scanner +ADF"
"SO176";2019;"1.000";"449.000";"PRO1379";"Linksys dual band N Router"
"SO176";9684;"3.000";"1598.000";"PRO2691";"HP PRO 3400"
"SO176";9685;"3.000";"403.000";"PRO2692";"HP LED '18.5"
"SO176";9625;"1.000";"760.000";"PRO2682";"Panasonic PABX 3 lines 8 ext."
"SO176";9690;"1.000";"1000.000";"PRO2694";"HP printer  CP1525n"
"SO176";9114;"1.000";"1400.000";"PRO2517";"PABX system"
"SO176";5723;"3.000";"316.000";"PRO1980";"Panasonic Phone KX T7730"
"SO176";3153;"1.000";"1500.000";"PRO1536";"TI-System Installation and Configuration"
"SO176";2389;"1.000";"75.000";"PRO1476";"WIRELESS NETWORK CARD"
"SO176";3756;"1.000";"75.000";"PRO1617";"Fax Modem"
"SO177";9650;"1.000";"7360.000";"PRO2689";"Extended Validation MDC SSL"
"SO178";9124;"2.000";"1560.000";"PRO2521";"HP Pro 3300 Core i3"
"SO178";5723;"2.000";"316.000";"PRO1980";"Panasonic Phone KX T7730"
"SO178";9685;"1.000";"403.000";"PRO2692";"HP LED '18.5"
"SO178";9768;"1.000";"2130.000";"PRO2723";"HP ProBook 4530"
"SO179";7671;"1.000";"900.000";"PRO2322";"TI-Technical Assistance"
"SO179";4038;"1.000";"230.000";"PRO1635";"Panasonic Phone Service Charge"
"SO180";8277;"20.000";"60.000";"PRO2373";"Trend Micro - Worry-Free Business Security v9"
"SO181";9818;"2.000";"80.000";"PRO2726";"Dlink WIRELESS N USB ADAPTER"
"SO182";9939;"1.000";"360000.000";"PRO2746";"BPS-System Maintenance"
"SO183";9993;"1.000";"1750.000";"PRO2747";"IP CCTV System Viewer ~ Honeywell"
"SO183";9316;"1.000";"4500.000";"PRO2587";"Engineering Services"
"SO184";10028;"2.000";"6000.000";"PRO2758";"BPS-NETWORK ENGINEER"
"SO186";10028;"2.000";"6000.000";"PRO2758";"BPS-NETWORK ENGINEER"
"SO187";10073;"1.000";"20976.000";"PRO2760";"Neverfail Support Renewal"
"SO188";9218;"79.000";"500.000";"PRO2550";"BPS-SYSTEM ENGINEER"
"SO189";5424;"4.000";"28000.000";"PRO1932";"BPS-CONSULTATION"
"SO191";10166;"2.000";"6000.000";"PRO2772";"BPS-Network Engineer"
"SO192";10166;"6.000";"454.500";"PRO2772";"BPS-Network Engineer"
"SO192";10173;"6.000";"409.000";"PRO2773";"BPS-Support Engineer"
"SO193";10173;"1.000";"27000.000";"PRO2773";"BPS-Support Engineer"
"SO194";10196;"1.000";"17000.000";"PRO2774";"Neverfail WAN Smart"
"SO195";10208;"3.000";"1249.000";"PRO2777";"Lenovo B570E"
"SO196";9939;"1.000";"174000.000";"PRO2746";"BPS-System Maintenance"
"SO197";9939;"1.000";"174000.000";"PRO2746";"BPS-System Maintenance"
"SO198";9939;"1.000";"489000.000";"PRO2746";"BPS-System Maintenance"
"SO199";9939;"1.000";"234000.000";"PRO2746";"BPS-System Maintenance"
"SO200";9939;"1.000";"336000.000";"PRO2746";"BPS-System Maintenance"
"SO201";10437;"1.000";"212000.000";"PRO2804";"RentaCar Online Booking Portal"
"SO202";10478;"1.000";"13616.000";"PRO2807";"Wildcard SSL"
"SO202";10479;"1.000";"5995.000";"PRO2808";"Business‐validated certificate"
"SO202";10480;"1.000";"18600.000";"PRO2809";"WAVA"
"SO202";10481;"1.000";"14720.000";"PRO2810";"HS‐SS‐1Y"
"SO203";10717;"1.000";"4048.000";"PRO2824";"APC Smart-UPS 3000VA USB & Serial 230V"
"SO203";10718;"1.000";"10930.000";"PRO2825";"APC Smart-UPS RT 8000VA 230V"
"SO204";10850;"1.000";"5600.000";"PRO2827";"HP Proliant DL360e Gen8 E"
"SO204";10851;"1.000";"900.000";"PRO2828";"HP 8GB 2RX4 PC3L 10600R"
"SO204";10852;"2.000";"890.000";"PRO2829";"HP 1TB 6G SATA 7.2k 3.5in"
"SO204";10866;"1.000";"2520.000";"PRO2830";"Windows Svr Std 2008 R2"
"SO204";5600;"4.000";"900.000";"PRO1954";"TI-Technical Assistance"
"SO205";8352;"20.000";"60.000";"PRO2376";"Trend Micro-Worry-Free Business Security v7.x, Sta"
"SO206";11132;"1.000";"252000.000";"PRO2843";"Entry Service tools in addition to SAINT Scanner, "
"SO207";11132;"1.000";"252000.000";"PRO2843";"Entry Service tools in addition to SAINT Scanner, "
"SO208";112;"1.000";"8000.000";"PRO11";"Website Design and Development"
"SO209";11076;"1.000";"190000.000";"PRO2840";"SHAREPOINT"
"SO210";11076;"1.000";"190000.000";"PRO2840";"SHAREPOINT"
"SO211";4951;"150.000";"150.000";"PRO1736";"1 GB KIT (2x512 MB RDIMM)"
"SO212";8256;"2.000";"15500.000";"PRO2371";"HP DL360G7 SFF Svr E5620"
"SO212";11105;"1.000";"2900.000";"PRO2841";"27U Rack"
"SO212";7213;"1.000";"900.000";"PRO2252";"BPS-SYSTEM ENGINEER"
"SO212";11076;"1.000";"55000.000";"PRO2840";"SHAREPOINT"
"SO212";4593;"1.000";"50000.000";"PRO1651";"BSD-IMPLEMENTATION FEES"
"SO213";6261;"1.000";"177600.000";"PRO2074";"TI-SLA"
"SO214";3816;"1.000";"300000.000";"PRO1621";"BSD-TECHNICAL ANALYST"
"SO215";5656;"1.000";"340000.000";"PRO1964";"BSD-J2EE CONSULTANT"
"SO216";8671;"1.000";"250000.000";"PRO2447";"BPS-Oracle System Admin"
"SO217";11263;"1.000";"480000.000";"PRO2848";"ITC-Intellect-ERP"
"SO218";9218;"12.000";"43500.000";"PRO2550";"BPS-SYSTEM ENGINEER"
"SO219";9218;"12.000";"10250.000";"PRO2550";"BPS-SYSTEM ENGINEER"
"SO220";9218;"3.000";"11000.000";"PRO2550";"BPS-SYSTEM ENGINEER"
"SO221";9218;"1.000";"12100.000";"PRO2550";"BPS-SYSTEM ENGINEER"
"SO222";9218;"1.000";"132000.000";"PRO2550";"BPS-SYSTEM ENGINEER"
"SO223";3240;"1.000";"120000.000";"PRO1584";"TI-RESIDENT TAM"
"SO224";5600;"1.000";"10800.000";"PRO1954";"TI-Technical Assistance"
"SO225";11842;"1.000";"9200.000";"PRO2875";"Creative Problem Solving"
"SO226";4960;"1.000";"1200.000";"PRO1742";"24-Port 10/100/1000 Gigabit Switch"
"SO226";2336;"1.000";"160.000";"PRO1455";"Patch Panel 24 port cat 6"
"SO226";11889;"1.000";"420.000";"PRO2877";"6WAY PDU"
"SO227";11987;"1.000";"50000.000";"PRO2897";"Dubai Holding Intranet Portal"
"SO228";6261;"1.000";"42000.000";"PRO2074";"TI-SLA"
"SO229";11998;"1.000";"5700.000";"PRO2898";"HP Printer CP 4025 DN"
"SO231";11965;"2.000";"3260.000";"PRO2890";"HP Elite 7500 MT"
"SO231";11966;"2.000";"690.000";"PRO2891";"RAM Upgrade 16GB"
"SO231";11968;"2.000";"3040.000";"PRO2893";"HP Scanjet Enterprise Flow 5000 s2 Sheet-Feed Scan"
"SO231";11969;"2.000";"690.000";"PRO2894";"MS Office 2013"
"SO232";12016;"1.000";"590.000";"PRO2901";"Blackberry 9320"
"SO233";12017;"1.000";"120.000";"PRO2902";"Wireless Keyboard"
"SO234";6614;"1.000";"33000.000";"PRO2102";"Managed Co-location-Initial Fees"
"SO234";5553;"12.000";"23000.000";"PRO1939";"Managed Co-location"
"SO235";6576;"1.000";"14000.000";"PRO2099";"SCA COMPLIANCY EXTERNAL AUDIT"
"SO235";12046;"1.000";"38000.000";"PRO2908";"SCA MARGINAL TRADING"
"SO236";11844;"16.000";"9200.000";"PRO2876";"Retail Entrepreneurship Program"
"SO237";12103;"1.000";"262650.000";"PRO2912";"BPS-SHAREPT/CRM-ADMIN"
"SO238";12117;"20.000";"60.000";"PRO2916";"Trend Micro-Worry-Free Business Security v9.x,"
"SO238";12117;"5.000";"160.000";"PRO2916";"Trend Micro-Worry-Free Business Security v9.x,"
"SO239";12295;"1.000";"11800.000";"PRO2982";"HP DL360p G8 Server"
"SO239";11105;"1.000";"1700.000";"PRO2841";"27U Rack"
"SO239";7256;"1.000";"1950.000";"PRO2270";"24 port POE Switch"
"SO239";8488;"1.000";"2650.000";"PRO2426";"MS W2008 R2 STD Ed ROK E F I G S SW - 5CAL - media"
"SO240";12317;"2.000";"1980.000";"PRO2985";"DrayTek Vigor2860n [VDSL/ADSL Router Firewall]"
"SO240";12318;"1.000";"175.000";"PRO2986";"Dynamic DNS Service [1 Year Subscription]"
"SO240";12319;"1.000";"2800.000";"PRO2987";"Professional Service Charges"
"SO241";12319;"1.000";"1500.000";"PRO2987";"Professional Service Charges"
"SO242";12454;"10.000";"360.000";"PRO2990";"RMS Recuitment Management System"
"SO243";12448;"8.000";"5023.000";"PRO2988";"Double Take Availability Virtual Edition"
"SO244";12500;"1.000";"7100.000";"PRO3002";"Microsoft Surface Pro 3 - 512GB / Intel i7"
"SO244";12501;"1.000";"5700.000";"PRO3003";"Microsoft Surface Pro 3 - 256GB / Intel i7"
"SO245";12517;"2.000";"6206.000";"PRO3004";"Sony Projector CW275"
